date,usage,day,month
2021-04-12 00:00:02.404,-0.10427344170473307,12.0,4.0
2021-04-12 00:00:12.911,-0.10427344170473307,12.0,4.0
2021-04-12 00:00:23.429,-0.10281661658375056,12.0,4.0
2021-04-12 00:00:33.935,-0.09990296634178557,12.0,4.0
2021-04-12 00:00:44.455,-0.10135979146276806,12.0,4.0
2021-04-12 00:00:54.966,-0.10135979146276806,12.0,4.0
2021-04-12 00:01:05.480,-0.09407566585785558,12.0,4.0
2021-04-12 00:01:16.010,-0.09553249097883808,12.0,4.0
2021-04-12 00:01:26.532,-0.09553249097883808,12.0,4.0
2021-04-12 00:01:37.049,-0.09553249097883808,12.0,4.0
2021-04-12 00:01:47.557,-0.09553249097883808,12.0,4.0
2021-04-12 00:01:58.071,-0.09553249097883808,12.0,4.0
2021-04-12 00:02:08.583,-0.09407566585785558,12.0,4.0
2021-04-12 00:02:19.099,-0.09844614122080307,12.0,4.0
2021-04-12 00:02:29.613,-0.09844614122080307,12.0,4.0
2021-04-12 00:02:40.123,-0.09844614122080307,12.0,4.0
2021-04-12 00:02:50.637,-0.09844614122080307,12.0,4.0
2021-04-12 00:03:01.149,-0.09844614122080307,12.0,4.0
2021-04-12 00:03:11.663,-0.07368011416410061,12.0,4.0
2021-04-12 00:03:22.186,-0.07513693928508311,12.0,4.0
2021-04-12 00:03:32.692,-0.11155756730964556,12.0,4.0
2021-04-12 00:03:43.201,-0.11155756730964556,12.0,4.0
2021-04-12 00:03:53.715,-0.11155756730964556,12.0,4.0
2021-04-12 00:04:04.228,-0.11010074218866306,12.0,4.0
2021-04-12 00:04:14.743,-0.11155756730964556,12.0,4.0
2021-04-12 00:04:25.256,-0.11155756730964556,12.0,4.0
2021-04-12 00:04:35.767,-0.11301439243062805,12.0,4.0
2021-04-12 00:04:46.275,-0.11884169291455804,12.0,4.0
2021-04-12 00:04:56.779,-0.11884169291455804,12.0,4.0
2021-04-12 00:05:07.270,-0.11884169291455804,12.0,4.0
2021-04-12 00:05:17.765,-0.12029851803554054,12.0,4.0
2021-04-12 00:05:28.267,-0.12029851803554054,12.0,4.0
2021-04-12 00:05:38.772,-0.12029851803554054,12.0,4.0
2021-04-12 00:05:49.299,-0.12029851803554054,12.0,4.0
2021-04-12 00:05:59.796,-0.12029851803554054,12.0,4.0
2021-04-12 00:06:10.304,-0.12029851803554054,12.0,4.0
2021-04-12 00:06:20.829,-0.1436077199712605,12.0,4.0
2021-04-12 00:06:31.351,-0.1436077199712605,12.0,4.0
2021-04-12 00:06:41.852,-0.145064545092243,12.0,4.0
2021-04-12 00:06:52.375,-0.1436077199712605,12.0,4.0
2021-04-12 00:07:02.877,-0.145064545092243,12.0,4.0
2021-04-12 00:07:13.399,-0.145064545092243,12.0,4.0
2021-04-12 00:07:23.907,-0.145064545092243,12.0,4.0
2021-04-12 00:07:34.428,-0.145064545092243,12.0,4.0
2021-04-12 00:07:44.930,-0.145064545092243,12.0,4.0
2021-04-12 00:07:55.455,-0.142150894850278,12.0,4.0
2021-04-12 00:08:05.955,-0.142150894850278,12.0,4.0
2021-04-12 00:08:16.444,-0.142150894850278,12.0,4.0
2021-04-12 00:08:26.938,-0.1406940697292955,12.0,4.0
2021-04-12 00:08:37.432,-0.1406940697292955,12.0,4.0
2021-04-12 00:08:47.933,-0.1406940697292955,12.0,4.0
2021-04-12 00:08:58.454,-0.1406940697292955,12.0,4.0
2021-04-12 00:09:08.959,-0.1406940697292955,12.0,4.0
2021-04-12 00:09:19.480,-0.12612581851947052,12.0,4.0
2021-04-12 00:09:29.984,-0.1377804194873305,12.0,4.0
2021-04-12 00:09:40.486,-0.1377804194873305,12.0,4.0
2021-04-12 00:09:50.980,-0.139237244608313,12.0,4.0
2021-04-12 00:10:01.472,-0.130496293882418,12.0,4.0
2021-04-12 00:10:11.973,-0.1319531190034005,12.0,4.0
2021-04-12 00:10:22.476,-0.1319531190034005,12.0,4.0
2021-04-12 00:10:32.966,-0.1319531190034005,12.0,4.0
2021-04-12 00:10:43.489,-0.1319531190034005,12.0,4.0
2021-04-12 00:10:53.991,-0.1319531190034005,12.0,4.0
2021-04-12 00:11:04.514,-0.1319531190034005,12.0,4.0
2021-04-12 00:11:15.015,-0.130496293882418,12.0,4.0
2021-04-12 00:11:25.528,-0.1406940697292955,12.0,4.0
2021-04-12 00:11:36.043,-0.1406940697292955,12.0,4.0
2021-04-12 00:11:46.537,-0.1406940697292955,12.0,4.0
2021-04-12 00:11:57.043,-0.142150894850278,12.0,4.0
2021-04-12 00:12:07.533,-0.142150894850278,12.0,4.0
2021-04-12 00:12:18.024,-0.1377804194873305,12.0,4.0
2021-04-12 00:12:28.542,-0.139237244608313,12.0,4.0
2021-04-12 00:12:39.157,-0.142150894850278,12.0,4.0
2021-04-12 00:12:49.903,-0.142150894850278,12.0,4.0
2021-04-12 00:13:00.076,-0.1377804194873305,12.0,4.0
2021-04-12 00:13:11.306,-0.1377804194873305,12.0,4.0
2021-04-12 00:13:21.105,-0.056198212712310645,12.0,4.0
2021-04-12 00:13:32.011,-0.09990296634178557,12.0,4.0
2021-04-12 00:13:42.128,-0.09990296634178557,12.0,4.0
2021-04-12 00:13:52.790,-0.10135979146276806,12.0,4.0
2021-04-12 00:14:03.295,-0.10281661658375056,12.0,4.0
2021-04-12 00:14:13.793,-0.10427344170473307,12.0,4.0
2021-04-12 00:14:24.315,-0.10281661658375056,12.0,4.0
2021-04-12 00:14:34.811,-0.10281661658375056,12.0,4.0
2021-04-12 00:14:45.323,-0.10427344170473307,12.0,4.0
2021-04-12 00:14:55.839,-0.10135979146276806,12.0,4.0
2021-04-12 00:15:06.359,0.2045734839435564,12.0,4.0
2021-04-12 00:15:16.881,0.03412494478860419,12.0,4.0
2021-04-12 00:15:27.392,0.03412494478860419,12.0,4.0
2021-04-12 00:15:37.904,0.03412494478860419,12.0,4.0
2021-04-12 00:15:48.418,0.03412494478860419,12.0,4.0
2021-04-12 00:15:58.930,0.2074871341855214,12.0,4.0
2021-04-12 00:16:09.445,0.032668119667621696,12.0,4.0
2021-04-12 00:16:19.956,0.032668119667621696,12.0,4.0
2021-04-12 00:16:30.461,0.0312112945466392,12.0,4.0
2021-04-12 00:16:40.984,0.025383994062709213,12.0,4.0
2021-04-12 00:16:51.497,0.023927168941726713,12.0,4.0
2021-04-12 00:17:02.011,0.022470343820744216,12.0,4.0
2021-04-12 00:17:12.532,0.02684081918369171,12.0,4.0
2021-04-12 00:17:23.035,0.02684081918369171,12.0,4.0
2021-04-12 00:17:33.550,0.02684081918369171,12.0,4.0
2021-04-12 00:17:44.064,0.028297644304674206,12.0,4.0
2021-04-12 00:17:54.576,0.028297644304674206,12.0,4.0
2021-04-12 00:18:05.086,0.028297644304674206,12.0,4.0
2021-04-12 00:18:15.592,0.028297644304674206,12.0,4.0
2021-04-12 00:18:26.117,0.02684081918369171,12.0,4.0
2021-04-12 00:18:36.654,0.028297644304674206,12.0,4.0
2021-04-12 00:18:47.166,0.028297644304674206,12.0,4.0
2021-04-12 00:18:57.670,0.028297644304674206,12.0,4.0
2021-04-12 00:19:08.192,0.028297644304674206,12.0,4.0
2021-04-12 00:19:18.717,0.028297644304674206,12.0,4.0
2021-04-12 00:19:29.237,0.028297644304674206,12.0,4.0
2021-04-12 00:19:39.761,0.028297644304674206,12.0,4.0
